country_name,country_code,income_tier,year,mortality_u5,nutrition_stunting,population,cbr_real,annual_births,cate_effect,cate_se,cate_ci_lower,cate_ci_upper,lives_saved_2.5pct,lives_saved_5.0pct,lives_saved_10.0pct
Zambia,ZMB,Lower middle income,2023,49.1,34.6,20723965.0,33.081,685569.4861650001,0.7050113403819422,0.2541027494783769,0.20696995140432345,1.203052729359561,1208.3356559153654,2416.6713118307307,4833.342623661461
Thailand,THA,Upper middle income,2023,9.2,12.4,71702435.0,8.245,591186.576575,0.8157281892302846,0.2191054458417024,0.3862815153805478,1.2451748630800212,1205.6188890169394,2411.237778033879,4822.475556067758
Nepal,NPL,Lower middle income,2023,26.1,24.8,29694614.0,19.34,574293.83476,0.7801386276501125,0.3115420908260784,0.1695161296309987,1.3907611256692263,1120.0720102939672,2240.1440205879344,4480.288041175869
"Korea, Rep.",KOR,High income,2023,2.9,0.9,51712619.0,4.5,232706.78549999997,1.6803138645648372,0.1410649953496532,1.403826473679517,1.9568012554501575,977.5510951349138,1955.1021902698276,3910.204380539655
Benin,BEN,Lower middle income,2023,77.2,34.1,14111034.0,33.879,478067.72088599997,0.8041816066988182,0.31586729135308583,0.18508171564676978,1.4232814977508663,961.1331697323641,1922.2663394647282,3844.5326789294563
Kazakhstan,KAZ,Upper middle income,2023,9.6,8.0,20330104.0,20.138,409407.6343520001,0.8876656306004559,0.09379157748091661,0.7038341387378594,1.0714971224630525,908.5427147992725,1817.085429598545,3634.17085919709
Algeria,DZA,Upper middle income,2023,22.0,9.8,46164219.0,19.625,905972.797875,0.3974879789938766,0.23046409166869536,-0.05422164067676638,0.8491975986645194,900.283241126904,1800.566482253808,3601.132964507616
South Sudan,SSD,Low income,2023,96.7,31.3,11483374.0,28.59,328309.66266000003,1.026729571780668,0.46588177144891013,0.11360129974080424,1.9398578438205318,842.7130983858934,1685.4261967717869,3370.8523935435737
Cote d'Ivoire,CIV,Lower middle income,2023,66.5,23.4,31165654.0,31.99,996989.27146,0.32017616955700456,0.19544217508840236,-0.06289049361626414,0.7032428327302731,798.0305150637284,1596.061030127457,3192.122060254914
Malaysia,MYS,Upper middle income,2023,8.3,21.2,35126298.0,12.412,435987.610776,0.672538515342739,0.12999326749653745,0.41775171104952535,0.9273253196359521,733.0461511477976,1466.0923022955951,2932.1846045911902
Cameroon,CMR,Lower middle income,2023,67.0,28.9,28372687.0,33.743,957379.577441,0.282731220913956,0.18441115292072424,-0.07871463881066354,0.6441770806385755,676.7027420199532,1353.4054840399065,2706.810968079813
Sierra Leone,SLE,Low income,2023,93.8,26.3,8460512.0,30.601,258900.127712,0.9899560363151576,0.28435244730801146,0.43262523959145527,1.5472868330388603,640.749360578149,1281.498721156298,2562.997442312596
Chile,CHL,High income,2023,6.9,1.8,19658835.0,8.963,176202.13810499996,1.338202219753894,0.19373267042160192,0.9584861857275545,1.717918253780234,589.4852308437329,1178.9704616874658,2357.9409233749316
Romania,ROU,High income,2023,6.9,12.8,19061062.0,8.4,160112.92080000002,1.4174490717554096,0.23797395427304263,0.9510201213802459,1.883878022130573,567.3797774100186,1134.7595548200372,2269.5191096400745
Morocco,MAR,Lower middle income,2023,16.3,14.2,37712505.0,16.701,629836.546005,0.3386901375015149,0.3191425471360059,-0.2868292548850569,0.9642095298880864,533.2985659247817,1066.5971318495633,2133.1942636991266
South Africa,ZAF,Upper middle income,2023,34.8,21.3,63212384.0,18.775,1186812.5096,0.17655736093732485,0.18108981776688662,-0.17837868188577288,0.5314934037604226,523.8512115559488,1047.7024231118976,2095.404846223795
Ecuador,ECU,Upper middle income,2023,13.0,17.5,17980083.0,15.033,270294.587739,0.740386794513261,0.23778481353915115,0.2743285599765246,1.206445029049997,500.3063584759039,1000.6127169518078,2001.2254339036156
Liberia,LBR,Low income,2023,87.3,29.8,5493031.0,30.96,170064.23976,1.1259572576662362,0.3887653234565963,0.3639772236913069,1.8879372916411645,478.71266256815727,957.4253251363145,1914.850650272629
