country_code,country_name,year,indicator_name,value,source,retrieved_date
CIV,Cote d'Ivoire,2019,literacy_rate,56.9592400560829,UNESCO Institute for Statistics (via World Bank API),2026-09-02
CIV,Cote d'Ivoire,2016,literacy_rate,50.0400009155273,UNESCO Institute for Statistics (via World Bank API),2026-09-02
CIV,Cote d'Ivoire,2014,literacy_rate,43.9099998474121,UNESCO Institute for Statistics (via World Bank API),2026-09-02
CIV,Cote d'Ivoire,2000,literacy_rate,48.7400016784668,UNESCO Institute for Statistics (via World Bank API),2026-09-02
HRV,Croatia,2001,literacy_rate,98.1500015258789,UNESCO Institute for Statistics (via World Bank API),2026-09-02
CUB,Cuba,2019,literacy_rate,97.6500015258789,UNESCO Institute for Statistics (via World Bank API),2026-09-02
CUB,Cuba,2012,literacy_rate,99.6699981689453,UNESCO Institute for Statistics (via World Bank API),2026-09-02
CUB,Cuba,2002,literacy_rate,99.8000030517578,UNESCO Institute for Statistics (via World Bank API),2026-09-02
CYP,Cyprus,2011,literacy_rate,98.6800003051758,UNESCO Institute for Statistics (via World Bank API),2026-09-02
CYP,Cyprus,2001,literacy_rate,96.8000030517578,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2023,literacy_rate,94.3123758236054,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2022,literacy_rate,93.7022375646963,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2021,literacy_rate,93.7309714425844,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2020,literacy_rate,93.6926372060753,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2019,literacy_rate,93.6726916249429,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2018,literacy_rate,93.4360584896058,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2017,literacy_rate,93.2332153385684,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2016,literacy_rate,93.7799987792969,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2015,literacy_rate,91.9899978637695,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2014,literacy_rate,91.7600021362305,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2013,literacy_rate,90.8600006103516,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2012,literacy_rate,90.1600036621094,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2011,literacy_rate,90.1100006103516,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2010,literacy_rate,89.5400009155273,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2007,literacy_rate,88.2399978637695,UNESCO Institute for Statistics (via World Bank API),2026-09-02
DOM,Dominican Republic,2002,literacy_rate,87.0,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ECU,Ecuador,2022,literacy_rate,96.2600021362305,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ECU,Ecuador,2021,literacy_rate,94.4800033569336,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ECU,Ecuador,2020,literacy_rate,93.629997253418,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ECU,Ecuador,2017,literacy_rate,92.8300018310547,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ECU,Ecuador,2016,literacy_rate,94.3499984741211,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ECU,Ecuador,2015,literacy_rate,94.4599990844727,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ECU,Ecuador,2014,literacy_rate,94.2200012207031,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ECU,Ecuador,2013,literacy_rate,93.2900009155273,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ECU,Ecuador,2012,literacy_rate,92.0599975585938,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ECU,Ecuador,2011,literacy_rate,91.5899963378906,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ECU,Ecuador,2010,literacy_rate,91.8499984741211,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ECU,Ecuador,2009,literacy_rate,92.25,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ECU,Ecuador,2008,literacy_rate,92.3899993896484,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ECU,Ecuador,2007,literacy_rate,92.0999984741211,UNESCO Institute for Statistics (via World Bank API),2026-09-02
ECU,Ecuador,2001,literacy_rate,90.9800033569336,UNESCO Institute for Statistics (via World Bank API),2026-09-02
EGY,"Egypt, Arab Rep.",2022,literacy_rate,79.4531619498685,UNESCO Institute for Statistics (via World Bank API),2026-09-02
EGY,"Egypt, Arab Rep.",2021,literacy_rate,82.0803858167894,UNESCO Institute for Statistics (via World Bank API),2026-09-02
EGY,"Egypt, Arab Rep.",2017,literacy_rate,71.1699981689453,UNESCO Institute for Statistics (via World Bank API),2026-09-02
EGY,"Egypt, Arab Rep.",2013,literacy_rate,72.4400024414062,UNESCO Institute for Statistics (via World Bank API),2026-09-02
EGY,"Egypt, Arab Rep.",2012,literacy_rate,73.870002746582,UNESCO Institute for Statistics (via World Bank API),2026-09-02
EGY,"Egypt, Arab Rep.",2010,literacy_rate,72.0500030517578,UNESCO Institute for Statistics (via World Bank API),2026-09-02
EGY,"Egypt, Arab Rep.",2006,literacy_rate,66.370002746582,UNESCO Institute for Statistics (via World Bank API),2026-09-02
EGY,"Egypt, Arab Rep.",2005,literacy_rate,67.3300018310547,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2023,literacy_rate,89.8499984741211,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2022,literacy_rate,89.3537151570456,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2021,literacy_rate,89.0586486323527,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2020,literacy_rate,89.9800033569336,UNESCO Institute for Statistics (via World Bank API),2026-09-02
SLV,El Salvador,2019,literacy_rate,89.1399993896484,UNESCO Institute for Statistics (via World Bank API),2026-09-02
